Ano,"Código da IES","Nome da IES","Sigla da IES","Organização Acadêmica","Categoria Administrativa","Código do Curso","Código da Área","Área de Enquadramento","Modalidade de Ensino","Código do Município","Município do Curso","Sigla da UF","Concluintes Inscritos","Concluintes Participantes","Nota Bruta - FG","Nota Bruta - CE","Nota Contínua do Enade","Concluintes Participantes com nota no Enem","Percentual de Concluintes participantes com nota no Enem","Nota Bruta - IDD","Nota Padronizada - IDD","Nota Bruta - Organização Didático-Pedagógica","Nota Padronizada - Organização Didático-Pedagógica","Nota Bruta - Infraestrutura e Instalações Físicas","Nota Padronizada - Infraestrutura e Instalações Físicas","Nota Bruta - Oportunidades de Ampliação da Formação","Nota Padronizada - Oportunidades de Ampliação da Formação","Nr. de Docentes","Nota Bruta - Mestres","Nota Padronizada - Mestres","Nota Bruta - Doutores","Nota Padronizada - Doutores","Nota Bruta - Regime de Trabalho","Nota Padronizada - Regime de Trabalho","CPC Contínuo","CPC Faixa",Obs
2015,756,"UNIVERSIDADE ESTADUAL DO PIAUÍ",UESPI,Universidade,Estadual,16687,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",2208007,PICOS,PI,31,30,"46,81333333333334","36,28999999999999","1,9050071239471436",29,"0,9666666388511658","-0,7680627107620239","2,1562104824952875","3,977116823196411","0,6157474721241495","3,3347647190093994","0,5797870321310233","2,8004608154296875","0,7674275253209889",4,"0,5","2,34375",0,0,1,5,"1,7808124438116664",2,
2015,756,"UNIVERSIDADE ESTADUAL DO PIAUÍ",UESPI,Universidade,Estadual,43061,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",2203909,FLORIANO,PI,72,37,"57,4081081081081","34,75135135135134","2,1954970359802246",36,"0,9729729890823364","0,05071107670664787","2,517996528630368","5,1077070236206055","3,066107928447583","4,5530171394348145","2,600222220464844","4,032205581665039","2,3968649826083985",4,"0,5","2,34375",0,0,1,5,"2,291070272438694",3,
2015,756,"UNIVERSIDADE ESTADUAL DO PIAUÍ",UESPI,Universidade,Estadual,43108,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",2211001,TERESINA,PI,71,40,"53,7625","38,962499999999984","2,500183582305908",35,"0,875","-1,3533703088760376","1,8975845653794536","4,6889519691467285","2,158528129875684","3,626570701599121","1,0637385232224341","3,613356590270996","1,842782469548139",14,"0,5714285714285714","2,7232142857142847","0,07142857142857142","0,43067226890756294",1,5,,"Curso não reconhecido até 31/12/2015",
2015,756,"UNIVERSIDADE ESTADUAL DO PIAUÍ",UESPI,Universidade,Estadual,71005,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",2201200,BARRAS,PI,33,28,"52,350000000000016","28,907142857142848","1,333763599395752",24,"0,8571428656578064","-1,307603359222412","1,9178072984618586","4,87617301940918","2,56429766333027","3,7556252479553223","1,2777716269543142","3,975041151046753","2,321243906694571",3,0,0,0,0,1,5,,"Curso não reconhecido até 31/12/2015",
2015,756,"UNIVERSIDADE ESTADUAL DO PIAUÍ",UESPI,Universidade,Estadual,71035,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",2211001,TERESINA,PI,72,64,"56,643750000000004","39,529687499999994","2,6875085830688477",54,"0,84375","-0,42218321561813354","2,3090419200699714","4,950578212738037","2,7255581655084478","4,63157320022583","2,7305050968359286","4,071883678436279","2,449353922594347",10,"0,4","1,8125",0,0,1,5,"2,258779853958048",3,
2015,757,"FACULDADES INTEGRADAS DO TAPAJÓS",ISES,Faculdade,Privada,16706,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",1506807,SANTAREM,PA,30,29,"49,91034482758621","30,993103448275857","1,4571924209594727",22,"0,7586206793785095","-1,5843899250030518","1,7955054871561116","5,495652198791504","3,906912594986858","5,3911614418029785","3,9902594680943606","4,998412609100342","3,675030691247251",20,"0,55","2,609375","0,3","1,8088235294117647","0,55","2,6634615384615383","2,171058859802827",3,
2015,760,"FACULDADE DE CIÊNCIAS HUMANAS DE PERNAMBUCO",FCHPE,Faculdade,Privada,18202,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",2611606,RECIFE,PE,36,36,"44,25555555555555","29,93333333333333","1,0954145193099976",13,"0,3611111044883728","-2,204782485961914","1,5213768143576902","4,978835582733154","2,786801171161386","4,931018352508545","3,227125922294011","4,347354412078857","2,8137657261496747",16,"0,75","3,6718749999999996","0,1875","1,130514705882353","0,9375","4,675480769230769","1,9879042045673982",3,
2015,761,"FACULDADES SPEI",FACSPEI,Faculdade,Privada,18067,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",4106902,CURITIBA,PR,41,32,"52,79999999999999","33,91562499999999","1,903747797012329",21,"0,65625","-0,6651932597160339","2,201664712383465","4,582928657531738","1,9287407762153084","3,9138526916503906","1,5401871080497584","3,2565126419067383","1,3707245304280176",17,"0,6470588235294118","3,125","0,23529411764705882","1,4186851211072664","0,5294117647058824","2,556561085972851","2,046185085230069",3,
2015,761,"FACULDADES SPEI",FACSPEI,Faculdade,Privada,102679,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",4106902,CURITIBA,PR,26,20,"45,94500000000001","32,160000000000004","1,413426399230957",13,"0,6499999761581421","-1,5008494853973389","1,8324189372444168","4,156495094299316","1,004519126141059","3,528696060180664","0,9014163589058211","3,1840908527374268","1,2749199617941125",16,"0,75","3,6718749999999996","0,25","1,5073529411764708","0,5625","2,728365384615385","1,782435629355085",2,
2015,779,"FACULDADE DE PONTA PORÃ",FAP,Faculdade,Privada,16813,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",5006606,"PONTA PORA",MS,2,2,"60,3","34,35","2,2768354415893555",,,,"2,2768354415893555","4,4347825050354","1,6076593855422892","3,9166667461395264","1,544854133221564","3,7857141494750977","2,070789010117546",9,"0,5555555555555556","2,6388888888888884","0,1111111111111111","0,6699346405228758",1,5,"2,175253241448932",3,
