"Ano Enade","Código IES",IES,"Sigla IES","Código Área","Código Área Agrupamento","Área Enquadramento","Código UF","Sigla UF","Código Município",Município,"Categoria Administrativa","Organização Acadêmica","Número Cursos Unidade","Número Concluintes Inscritos","Número de Concluintes Participantes","Média FG Conc","Média CE Conc","Nota Enade Concluintes","Conceito Enade Faixa","Número Ingressantes Inscritos","Número Ingressantes Participantes no  Enem","Nota Enem Ingressantes","Nota IDD","Proporção de respostas sobre infraestrutura","Nota de Infraestrutura","Proporção de respostas sobre plano ensino","Nota de Organização Pedagógica","Número docentes","Proporção Docentes Mestres","Nota Mestrado","Proporção Docentes Doutores","Nota Doutorado","Proporção Docentes Parc Integral","Nota Regime","CPC Contínuo","CPC Faixa"
2011,57,"UNIVERSIDADE ESTADUAL DE MARINGÁ",UEM,21,21,"ARQUITETURA E URBANISMO",41,PR,410300915200,MARINGÁ,PÚBLICA,UNIVERSIDADES,1,36,33,"58,5454545454545","53,5848484848485","3,78527855873108",4,39,30,"64,8687515258789","3,30267953872681","0,609375","1,78599679470062","0,65625","1,5625",37,"0,891891896724701","4,26289939880371","0,459459453821182","2,75675678253174",1,5,"3,27236175537109",4
2011,76,"UNIVERSIDADE REGIONAL DE BLUMENAU",FURB,21,21,"ARQUITETURA E URBANISMO",42,SC,420401202404,BLUMENAU,PÚBLICA,UNIVERSIDADES,1,52,50,"55,17","46,264","2,70203804969788",3,79,40,"58,3979988098145","3,16093373298645","0,839999973773956","3,68354415893555","0,720000028610229","2,20000028610229",54,"0,740740716457367","3,23232293128967","0,277777791023254","1,66666674613953","0,425925940275192","2,12962961196899","2,74014663696289",3
2011,82,"UNIVERSIDADE DO OESTE DE SANTA CATARINA",UNOESC,21,21,"ARQUITETURA E URBANISMO",42,SC,420100319507,XANXERÊ,PRIVADA,UNIVERSIDADES,1,29,29,"51,4137931034483","37,8448275862069","1,46157944202423",2,46,33,"54,6000747680664","1,82909417152405","0,965517222881317","4,71628093719482","0,913793087005615","4,13793087005615",20,"0,5","1,59090912342072","0,100000001490116","0,600000023841858","0,550000011920929","2,75","2,0121328830719",3
2011,83,"UNIVERSIDADE DO VALE DO ITAJAÍ",UNIVALI,21,21,"ARQUITETURA E URBANISMO",42,SC,420401302008,"BALNEÁRIO CAMBORIÚ",PRIVADA,UNIVERSIDADES,1,86,79,"52,0063291139241","47,5759493670886","2,73731184005737",3,158,90,"55,2729148864746","3,5604875087738","0,83766233921051","3,66431045532227","0,871794879436493","3,71794891357422",72,"0,541666686534882","1,87500011920929","0,194444447755814","1,16666674613953","0,694444417953491","3,47222208976746","2,92334413528442",3
2011,124,"CENTRO UNIVERSITÁRIO DE ARARAQUARA",UNIARA,21,21,"ARQUITETURA E URBANISMO",35,SP,350502403208,ARARAQUARA,PRIVADA,"CENTROS UNIVERSITÁRIOS",1,47,43,"48,6279069767442","36,8302325581395","1,21374297142029",2,66,37,"54,5856742858887","1,73405790328979","0,720930218696594","2,7038562297821","0,639534890651703","1,39534890651703",16,"0,75","3,29545450210571","0,125","0,750000059604645","0,4375","2,1875","1,68083083629608",2
2011,125,"CENTRO UNIVERSITÁRIO DE ARARAS -",UNAR,21,21,"ARQUITETURA E URBANISMO",35,SP,350602703307,ARARAS,PRIVADA,"CENTROS UNIVERSITÁRIOS",1,33,20,"47,1","40,47","1,61716449260712",,30,14,"52,8764266967773","2,87529230117798","0,774999976158142","3,14873385429382","0,789473712444305","2,89473724365234",17,1,5,"0,352941185235977","2,11764717102051","0,764705896377563","3,82352948188782","2,76245737075806","Unidade com cursos não reconhecidos até 30/09/2012"
2011,138,"CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ",CBM,21,21,"ARQUITETURA E URBANISMO",35,SP,350201443402,"RIBEIRÃO PRETO",PRIVADA,"CENTROS UNIVERSITÁRIOS",1,29,29,"50,2758620689655","40,5551724137931","1,7619788646698",2,44,27,"55,8381462097168","2,32662892341614","0,814814805984497","3,47632431983948","0,740000009536743","2,40000009536743",23,"0,826086938381195","3,81422901153564","0,260869562625885","1,56521737575531","0,47826087474823","2,39130425453186","2,30763792991638",3
2011,142,"CENTRO UNIVERSITÁRIO DO TRIÂNGULO",UNITRI,21,21,"ARQUITETURA E URBANISMO",31,MG,310501870206,UBERLÂNDIA,PRIVADA,"CENTROS UNIVERSITÁRIOS",1,25,25,"51,28","36,472","1,27948808670044",2,96,73,"56,831916809082","1,27004981040955","0,779999971389771","3,18987321853638","0,720000028610229","2,20000028610229",10,"0,899999976158142","4,31818151473999","0,200000002980232","1,20000004768372","0,400000005960464",2,"1,75851917266846",2
2011,143,"UNIVERSIDADE DE UBERABA",UNIUBE,21,21,"ARQUITETURA E URBANISMO",31,MG,310502270107,UBERABA,PRIVADA,UNIVERSIDADES,1,43,38,"49,6184210526316","44,9","2,29271411895752",3,65,49,"54,8836212158203","3,01874995231628","0,777777791023254","3,17158937454224","0,642857134342194","1,42857134342194",18,"0,777777791023254","3,4848484992981","0,333333343267441",2,"0,388888895511627","1,94444441795349","2,5673143863678",3
2011,146,"CENTRO UNIVERSITÁRIO DE RIO PRETO",UNIRP,21,21,"ARQUITETURA E URBANISMO",35,SP,350100449805,"SÃO JOSÉ DO RIO PRETO",PRIVADA,"CENTROS UNIVERSITÁRIOS",1,24,21,"53,2380952380952","42,8523809523809","2,18210506439209",3,110,49,"52,6272430419922","2,80300521850586",1,5,1,5,26,"0,769230782985687","3,42657351493835","0,269230782985687","1,61538469791412","0,423076927661896","2,11538457870483","2,82542729377747",3
