Ano Enade,"Código da área","Área de enquadramento","Código da IES","Nome da IES","Sigla da IES","Categoria administrativa","Organização acadêmica","Número de cursos da unidade","Código do município do curso","Município do curso","UF do curso","Número concluintes inscritos no Enade","Número concluintes participantes no Enade","Nota bruta de formação geral","Nota bruta de componente específico","Nota bruta geral","Nota padronizada de formação geral","Nota padronizada de componente específico","Nota de concluintes","Número de ingressantes inscritos no Enade","Número de ingressantes participantes no Enem","Nota dos ingressantes no Enem","Escolaridade dos pais (superior) dos ingressantes no Enem","Nota bruta do IDD","Nota padronizada do IDD","% de infraestrutura","Nota padronizada de infraestrutura","% organização didático pedagógica","Nota padronizada de organização didático pedagógica","% doutores","Nota padronizada de doutores","% de mestres","Nota padronizada de mestres","% de regime de trabalho (integral / parcial)","Nota padronizada de regime de trabalho (integral / parcial)","CPC (contínuo)","CPC (faixa)"
2012,13,"CIÊNCIAS ECONÔMICAS",4255,"FACULDADES INTEGRADAS DE CACOAL",UNESC,Privada,Faculdade,1,1100049,CACOAL,RO,10,9,"45,72222137451172","24,122220993041992","29,544443130493164","3,0132546424865723","1,5841732025146484","1,9414435625076294",0,0,.,.,.,.,"77,77777862548828","2,962963104248047","61,11111068725586","1,111111044883728","27,272727966308594","1,3636363744735718","81,81818389892578","3,7121214866638184","72,7272720336914","3,6363635063171387",.,SC
2012,13,"CIÊNCIAS ECONÔMICAS",4504,"FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS",UFGD,Pública,Universidade,1,5003702,DOURADOS,MS,3,0,.,.,.,.,.,.,70,39,"54,785064697265625","62,85714340209961",.,.,.,0,.,0,"41,66666793823242","2,0833332538604736","62,5","2,34375",100,5,.,"Unidade com cursos não reconhecidos até 22/11/2013"
2012,13,"CIÊNCIAS ECONÔMICAS",4722,"FACULDADES INTEGRADAS VIANNA JÚNIOR",FIVJ,Privada,Faculdade,1,3136702,"JUIZ DE FORA",MG,27,26,"51,17307662963867","36,2961540222168","40,03076934814453","3,806776285171509","3,9440724849700928","3,9097485542297363",26,20,"58,21025085449219",60,"8,546504974365234","4,387644290924072","90,38461303710938","4,118589401245117","86,53845977783203","3,653846025466919","13,043478012084961","0,6521738171577454","60,869564056396484","2,2282607555389404","4,34782600402832","0,2173915058374405","3,18180775642395",4
2012,13,"CIÊNCIAS ECONÔMICAS",4925,"FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC",UFABC,Pública,Universidade,1,3548708,"SAO BERNARDO DO CAMPO",SP,0,0,.,.,.,.,.,.,392,392,"64,32191467285156","83,07291412353516",.,.,.,0,.,0,0,0,0,0,0,0,.,"Unidade com cursos não reconhecidos até 22/11/2013"
2012,13,"CIÊNCIAS ECONÔMICAS",4962,"CENTRO UNIVERSITÁRIO DE SETE LAGOAS",UNIFEMM,Privada,"Centro Universitário",1,3167202,"SETE LAGOAS",MG,56,26,"43,55769348144531","22,869230270385742","28,042308807373047","2,698148250579834","1,341282844543457","1,6804991960525513",0,0,.,.,.,.,"76,92308044433594","2,884615898132324","53,846153259277344","0,38461539149284363","33,33333206176758","1,6666665077209473",100,5,"44,44444274902344","2,222222328186035",.,SC
2012,13,"CIÊNCIAS ECONÔMICAS",5322,"FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA",UNIPAMPA,Pública,Universidade,1,4317103,"SANTANA DO LIVRAMENTO",RS,0,0,.,.,.,.,.,.,50,50,"54,5135498046875","69,38775634765625",.,.,.,0,.,0,40,"1,9999998807907104",100,5,100,5,.,"Unidade com cursos não reconhecidos até 22/11/2013"
2012,13,"CIÊNCIAS ECONÔMICAS",15001,"UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA",UNILA,Pública,Universidade,1,4108304,"FOZ DO IGUACU",PR,0,0,.,.,.,.,.,.,40,6,"64,00791931152344","66,66666412353516",.,.,.,0,.,0,"64,70587921142578","3,2352938652038574",100,5,100,5,.,"Unidade com cursos não reconhecidos até 22/11/2013"
2012,13,"CIÊNCIAS ECONÔMICAS",15015,"Universidade Estadual do Norte do Paraná",UENP,Pública,Universidade,1,4106407,"CORNELIO PROCOPIO",PR,38,34,"42,338233947753906","23,34705924987793","28,10588264465332","2,520622491836548","1,433909296989441","1,70558762550354",26,16,"54,90546798706055","66,66666412353516","-1,6345164775848389","2,379661798477173","89,39393615722656","4,027777671813965","72,7272720336914","2,2727272510528564","5,263157844543457","0,2631578743457794","57,894737243652344","2,0175437927246094",100,5,"2,2123265266418457",3
2012,13,"CIÊNCIAS ECONÔMICAS",15059,"UNIVERSIDADE FEDERAL DO OESTE DO PARÁ",UFOPA,Pública,Universidade,1,1506807,SANTAREM,PA,0,0,.,.,.,.,.,.,43,42,"57,74101257324219","17,94871711730957",.,.,.,0,.,0,50,"2,5",100,5,100,5,.,"Unidade com cursos não reconhecidos até 22/11/2013"
2012,13,"CIÊNCIAS ECONÔMICAS",15121,"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL",UFFS,Pública,Universidade,1,4113304,"LARANJEIRAS DO SUL",PR,0,0,.,.,.,.,.,.,71,66,"53,834354400634766","34,375",.,.,.,0,.,0,36,"1,7999999523162842",100,5,100,5,.,"Unidade com cursos não reconhecidos até 22/11/2013"
2012,18,PSICOLOGIA,1,"UNIVERSIDADE FEDERAL DE MATO GROSSO",UFMT,Pública,Universidade,1,5103403,CUIABA,MT,62,58,"46,05172348022461","42,11724090576172","43,106895446777344","3,1561732292175293","3,0077555179595947","3,0448598861694336",84,81,"59,720462799072266","78,20513153076172","-1,0355520248413086","2,883256673812866","65,83333587646484","1,4694446325302124","78,81356048583984","2,555410861968994","54,28571319580078","2,7947089672088623","88,57142639160156","4,238094806671143",100,5,"3,0320394039154053",4
2012,18,PSICOLOGIA,1,"UNIVERSIDADE FEDERAL DE MATO GROSSO",UFMT,Pública,Universidade,1,5107602,RONDONOPOLIS,MT,42,38,"49,1184196472168","42,910526275634766","44,47368621826172","3,6308364868164063","3,121509552001953","3,2488412857055664",40,40,"56,64381408691406","71,79486846923828","3,8898987770080566","3,7196061611175537","91,46341705322266","4,117886543273926","91,46341705322266","4,015009880065918",60,"3,0888888835906982",84,"3,933333396911621",100,5,"3,6949310302734375",4
2012,18,PSICOLOGIA,2,"UNIVERSIDADE DE BRASÍLIA",UNB,Pública,Universidade,2,5300108,BRASILIA,DF,51,41,"52,42683029174805","50,79512023925781","51,22195053100586","4,1429123878479","4,252130508422852","4,224825859069824",61,41,"65,36396026611328","85,36585235595703","3,5605335235595703","3,663679361343384","63,33333206176758","1,2111108303070068","87,77777862548828","3,5897436141967773","85,9504165649414","4,424854755401611","99,17355346679688","4,944903373718262",100,5,"3,8969130516052246",4
2012,18,PSICOLOGIA,3,"UNIVERSIDADE FEDERAL DE SERGIPE",UFS,Pública,Universidade,1,2806701,"SAO CRISTOVAO",SE,31,27,"50,77777862548828","50,19629669189453","50,35926055908203","3,887672185897827","4,166261672973633","4,096614360809326",48,39,"59,072818756103516","67,56756591796875","6,190582752227783","4,110266208648682","55,55555725097656","0,4074075520038605","83,33333587646484","3,076923370361328","82,85713958740234","4,265608310699463","88,57142639160156","4,238094806671143",100,5,"3,8519392013549805",4
2012,18,PSICOLOGIA,4,"UNIVERSIDADE FEDERAL DO AMAZONAS",UFAM,Pública,Universidade,1,1302603,MANAUS,AM,22,14,"50,64285659790039","41,014286041259766","43,43571472167969","3,866788864135742","2,849595785140991","3,103893995285034",56,54,"58,4779167175293","72,54901885986328","-1,62111234664917","2,783827781677246",70,"1,899999976158142","76,66666412353516","2,307692050933838","46,875","2,413194417953491","78,125","3,5416665077209473",100,5,"2,913299560546875",3
