,Cód.IES,"Nome da IES","Sigla da IES","Org. Acadêmica","Categ. Administrativa","UF da IES","Nr. de Cursos com CPC no Triênio","alfa (Proporção de Graduandos)","Conceito médio da Graduação","beta (Proporção de Mestrandos - Equivalente)","Conceito Médio do Mestrado","gama (Proporção de Doutorandos - Equivalente)","Conceito Médio do doutorado","IGC (Contínuo)","IGC (faixa)",Observação
2016,3161,"Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano","IF Sertão","Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",PE,7,1,"2,4305336220028613",0,0,0,0,"2,4305336220028613",3,
2016,3162,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA",IFSC,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",SC,7,"0,9333333373069763","2,50220628571086","0,06666667014360428",4,0,0,"2,6020592238474274",3,
2016,3163,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO",IFRJ,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",RJ,12,"0,9413919448852539","2,929961830292807","0,05860805884003639","4,220000000000001",0,0,"3,0055684741638578",4,
2016,3164,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO",IFMT,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",MT,22,"0,9881433844566345","2,4667297400550754","0,011856642551720142",4,0,0,"2,484909244084737",3,
2016,3165,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO TRIÂNGULO MINEIRO",IFTM,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",MG,12,"0,9148014187812805","3,038848674328835","0,08519855886697769",4,0,0,"3,1207373142055426",4,
2016,3172,"UNIVERSIDADE DO ESTADO DO AMAZONAS",UEA,Universidade,"Pessoa Jurídica de Direito Público - Estadual",AM,73,"0,9284492135047913","2,4933947045860894","0,04490261524915695","4,210051546391752","0,02664819546043873","4,627586206896552","2,6273494989481225",3,
2016,3183,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE",IFS,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",SE,5,"0,9876847267150879","3,027488714633538","0,012315270490944386",4,0,0,"3,039465445709616",4,
2016,3184,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA",IFRR,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",RR,4,1,"2,198252438884635",0,0,0,0,"2,198252438884635",3,
2016,3188,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",IFNMG,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",MG,16,1,"2,4481601027468343",0,0,0,0,"2,4481601027468343",3,
2016,3189,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS",IFMG,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",MG,24,"0,9861205220222473","2,8041408626520745","0,013879485428333282",4,0,0,"2,8207387930157117",3,
