Ano,Cód.IES,"Nome da IES","Sigla da IES","Org. Acadêmica","Categ. Administrativa","UF da IES","Nr. de Cursos com CPC no Triênio","alfa (Proporção de Graduandos)","Conceito médio da Graduação","beta (Proporção de Mestrandos - Equivalente)","Conceito Médio do Mestrado","gama (Proporção de Doutorandos - Equivalente)","Conceito Médio do doutorado","IGC (Contínuo)","IGC (faixa)",Observação
2016,220,"FACULDADE SÃO JUDAS TADEU",FSJT,Faculdade,"Privada sem fins lucrativos",RJ,3,1,"2,189508445411491",0,0,0,0,"2,189508445411491",3,
2016,224,"FACULDADE DE MEDICINA DO ABC",FMABC,Faculdade,"Privada sem fins lucrativos",SP,6,"0,7455596923828125","3,3756055416646293","0,13878563046455383","4,5","0,11565468460321426","4,5","3,6616968470541544",4,
2016,225,"INSTITUTO DE ENSINO SUPERIOR SANTO ANDRÉ",IESA,Faculdade,"Privada sem fins lucrativos",SP,5,1,"2,2453613711461577",0,0,0,0,"2,2453613711461577",3,
2016,231,"FACULDADE DE SÃO BERNARDO DO CAMPO - FASB","FASB I",Faculdade,"Privada sem fins lucrativos",SP,7,1,"2,708369941878364",0,0,0,0,"2,708369941878364",3,
2016,234,"FACULDADES OSWALDO CRUZ",FOC,Faculdade,"Privada com fins lucrativos",SP,12,1,"2,0113092909608064",0,0,0,0,"2,0113092909608064",3,
2016,243,"FACULDADE DO CLUBE NÁUTICO MOGIANO",FCNM,Faculdade,"Privada sem fins lucrativos",SP,3,1,"2,5550308214681254",0,0,0,0,"2,5550308214681254",3,
2016,256,"FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE PIRAJU",FAFIP,Faculdade,"Privada com fins lucrativos",SP,2,1,"2,683554584208279",0,0,0,0,"2,683554584208279",3,
2016,263,"FACULDADES INTEGRADAS CAMPOS SALLES",FICS,Faculdade,"Privada sem fins lucrativos",SP,9,1,"2,29661701060206",0,0,0,0,"2,29661701060206",3,
2016,265,"FACULDADES INTEGRADAS DE OURINHOS",FIO,Faculdade,"Privada sem fins lucrativos",SP,13,1,"3,2972173127475584",0,0,0,0,"3,2972173127475584",4,
2016,267,"FACULDADES INTEGRADAS ESPÍRITO SANTENSES","FAESA I",Faculdade,"Privada sem fins lucrativos",ES,11,1,"3,1252899896127913",0,0,0,0,"3,1252899896127913",4,
2016,268,"FACULDADE DE DIREITO DA ALTA PAULISTA",FADAP,Faculdade,"Privada com fins lucrativos",SP,1,1,"2,1226873775322805",0,0,0,0,"2,1226873775322805",3,
2016,269,"FACULDADE FACCAT",FACCAT,Faculdade,"Privada com fins lucrativos",SP,7,1,"2,2812387805202827",0,0,0,0,"2,2812387805202827",3,
2016,270,"FACULDADES ESEFAP",,Faculdade,"Privada com fins lucrativos",SP,3,1,"2,72220962661294",0,0,0,0,"2,72220962661294",3,
2016,276,"FACULDADE DE DIREITO DE SOROCABA",FADI,Faculdade,"Privada sem fins lucrativos",SP,1,1,"2,56369437959711",0,0,0,0,"2,56369437959711",3,
2016,278,"FACULDADES INTEGRADAS SIMONSEN",FIS,Faculdade,"Privada sem fins lucrativos",RJ,11,1,"2,5976953458278977",0,0,0,0,"2,5976953458278977",3,
2016,279,"FACULDADES INTEGRADAS HÉLIO ALONSO",FACHA,Faculdade,"Privada sem fins lucrativos",RJ,6,1,"2,3091602590953464",0,0,0,0,"2,3091602590953464",3,
2016,284,"FACULDADE DE MEDICINA DE ITAJUBÁ",FMIT,Faculdade,"Privada sem fins lucrativos",MG,1,1,"2,241160754106119",0,0,0,0,"2,241160754106119",3,
2016,288,"FACULDADE DE DIREITO DO VALE DO RIO DOCE",FADIVALE,Faculdade,"Privada sem fins lucrativos",MG,1,1,"1,8895009092958048",0,0,0,0,"1,8895009092958048",2,
2016,294,"FACULDADE TRÊS DE MAIO",SETREM,Faculdade,"Privada sem fins lucrativos",RS,9,1,"2,805425457191451",0,0,0,0,"2,805425457191451",3,
2016,299,"FACULDADE DE JANDAIA DO SUL",FAFIJAN,Faculdade,"Privada sem fins lucrativos",PR,9,1,"2,393533724861923",0,0,0,0,"2,393533724861923",3,
2016,302,"FACULDADE DE CIÊNCIAS ECONÔMICAS, ADMINISTRATIVAS E CONTÁBEIS DE DIVINÓPOLIS",FACED,Faculdade,"Privada com fins lucrativos",MG,2,1,"2,926405736993795",0,0,0,0,"2,926405736993795",3,
2016,307,"FACULDADE DE MEDICINA DE BARBACENA",FAME,Faculdade,"Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação",MG,1,1,"2,5671065447979613",0,0,0,0,"2,5671065447979613",3,
2016,336,"FACULDADE MACHADO SOBRINHO",FMS,Faculdade,"Privada sem fins lucrativos",MG,4,1,"2,6629846913277575",0,0,0,0,"2,6629846913277575",3,
2016,337,"CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA",CES/JF,Faculdade,"Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação",MG,14,"0,9820159077644348","2,1985018640958627","0,01798410713672638",4,0,0,"2,230900232338806",3,
2016,339,"FACULDADE SANTA EMÍLIA DE RODAT",FASER,Faculdade,"Privada sem fins lucrativos",PB,4,1,"1,6121156555715752",0,0,0,0,"1,6121156555715752",2,
2016,345,"ESCOLA DE ENGENHARIA KENNEDY",EEK,Faculdade,"Privada sem fins lucrativos",MG,1,1,"2,392977078671595",0,0,0,0,"2,392977078671595",3,
2016,346,"INSTITUTO SUPERIOR DE CIÊNCIAS APLICADAS - ISCA",ISCA,Faculdade,"Privada sem fins lucrativos",SP,10,1,"2,2884347179559694",0,0,0,0,"2,2884347179559694",3,
2016,351,"FACULDADE DE CIÊNCIAS MÉDICAS DE MINAS GERAIS",FCMMG,Faculdade,"Privada sem fins lucrativos",MG,4,"0,9547114968299866","2,4469952326431743","0,045288532972335815",4,0,0,"2,5173286131819492",3,
2016,353,"FACULDADE EVANGÉLICA DO PARANÁ",FEPAR,Faculdade,"Privada sem fins lucrativos",PR,1,"0,8888888955116272","2,5579430758986725","0,06715507060289383",4,"0,04395604506134987",4,"2,7181716581741604",3,
2016,361,"FACULDADE PAULISTA DE SERVIÇO SOCIAL DE SÃO CAETANO DO SUL",FAPSS-SCS,Faculdade,"Privada sem fins lucrativos",SP,1,1,"3,6308553301522895",0,0,0,0,"3,6308553301522895",4,
2016,362,"FACULDADE PAULISTA DE SERVIÇO SOCIAL",FAPSS-SP.,Faculdade,"Privada sem fins lucrativos",SP,1,1,"2,70094532238621",0,0,0,0,"2,70094532238621",3,
2016,363,"FACULDADE MOZARTEUM DE SÃO PAULO",FAMOSP,Faculdade,"Privada sem fins lucrativos",SP,3,1,"2,5612427718930384",0,0,0,0,"2,5612427718930384",3,
2016,368,"FACULDADE DE EDUCAÇÃO FÍSICA DA ASSOCIAÇÃO CRISTÃ DE MOÇOS DE SOROCABA",FEFISO,Faculdade,"Privada sem fins lucrativos",SP,2,1,"2,773403162587026",0,0,0,0,"2,773403162587026",3,
